id,Title,SKU,Excerpt,"Post Type",Permalink,Price,"Regular Price","Stock Status",Visibility,"Attribute Name (pa_color)","Attribute Value (pa_color)","Attribute In Variations (pa_color)","Attribute Is Visible (pa_color)","Attribute Is Taxonomy (pa_color)","Image URL","Product Type",parent_id,"Product Categories","Product Tags",_vc_post_settings,custom_tab_priority1,custom_tab_priority2,layout,dhvc_woo_page_product,page_title,tm_meta_cpf,tm_meta,_ean,_wc_additional_variation_images,_vaterartikel,Status,Author,Parent,Order,"Comment Status","Ping Status",Downloadable,Virtual,Featured,Weight,Length,Width,Height,Backorders,"Tax Status","Tax Class","Default Attributes","Product Attributes",_parentSKU,Models,device_name,Up-Sells,Cross-Sells,"WPML Translation ID","WPML Language Code"
147,"Variation #147 of 4Good People S502m 4G Hülle",51000561,,product,http://p414239.webspaceconfig.de/shop/4good-people-s502m-4g-huelle/?attribute_pa_color=schwarz-leder,44.90,44.90,instock,,Color,schwarz-leder,yes,yes,yes,http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-black-leather.jpg,variable,146,,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,4059965957375,"167,176,197,47,50,53,56",5100,publish,1,146,0,closed,closed,no,no,,0.09,,,,,,,,,bfxs-0560,,,,,77,de
148,"Variation #148 of 4Good People S502m 4G Hülle",51040561,,product,http://p414239.webspaceconfig.de/shop/4good-people-s502m-4g-huelle/?attribute_pa_color=rot,34.90,34.90,instock,,Color,rot,yes,yes,yes,http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-red.jpg,variable,146,,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,4059965957368,"194,188,209,47,50,53,56",5104,publish,1,146,0,closed,closed,no,no,,0.09,,,,,,,,,bfxs-0560,,,,,78,de
149,"Variation #149 of 4Good People S502m 4G Hülle",51020561,,product,http://p414239.webspaceconfig.de/shop/4good-people-s502m-4g-huelle/?attribute_pa_color=pink,34.90,34.90,instock,,Color,pink,yes,yes,yes,http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-pink.jpg,variable,146,,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,4059965957351,"191,185,206,47,50,53,56",5102,publish,1,146,0,closed,closed,no,no,,0.09,,,,,,,,,bfxs-0560,,,,,79,de
150,"Variation #150 of 4Good People S502m 4G Hülle",51030561,,product,http://p414239.webspaceconfig.de/shop/4good-people-s502m-4g-huelle/?attribute_pa_color=braun-leder,44.90,44.90,instock,,Color,braun-leder,yes,yes,yes,http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-brown-leather.jpg,variable,146,,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,4059965957382,"173,182,203,47,50,53,56",5103,publish,1,146,0,closed,closed,no,no,,0.09,,,,,,,,,bfxs-0560,,,,,80,de
151,"Variation #151 of 4Good People S502m 4G Hülle",51010560,,product,http://p414239.webspaceconfig.de/shop/4good-people-s502m-4g-huelle/?attribute_pa_color=blau,34.90,34.90,instock,,Color,blau,yes,yes,yes,http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-blue.jpg,variable,146,,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,4059965957399,"170,179,200,47,50,53,56",5101,publish,1,146,0,closed,closed,no,no,,0.09,,,,,,,,,bfxs-0560,,,,,81,de
224,"4Good People S502m 4G Cover",,,product,http://p414239.webspaceconfig.de/shop/4good-people-s502m-4g-cover/?lang=en,34.90,,instock,visible,Color,"Black leather|Blue|Brown leather|Pink|Red",yes,yes,yes,http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip.png|http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/boonflip-xs-stand-red.jpg|http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/boonflip-xs-stand-pink.jpg|http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/boonflip-xs-stand-brown-leather.jpg|http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/boonflip-xs-stand-blue.jpg|http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/boonflip-xs-stand-black-leather.jpg|http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/boonflip-xs-red.jpg|http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/boonflip-xs-pink.jpg|http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/boonflip-xs-front-seite-red.jpg|http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/boonflip-xs-front-seite-pink.jpg|http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/boonflip-xs-front-seite-brown-leather.jpg|http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/boonflip-xs-front-seite-blue.jpg|http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/boonflip-xs-front-seite-black-leather.jpg|http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/boonflip-xs-brown-leather.jpg|http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/boonflip-xs-blue.jpg|http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/boonflip-xs-black-leather.jpg,variable,0,"boonflip XS","4Good People S502m 4G","a:1:{s:10:""vc_grid_id"";a:0:{}}",40,41,right-sidebar,221,,"a:1:{s:4:""mode"";s:7:""builder"";}",,,,,publish,1,0,0,closed,closed,no,no,no,,,,,no,,,,"a:1:{s:8:""pa_color"";a:6:{s:4:""name"";s:8:""pa_color"";s:5:""value"";s:0:"""";s:8:""position"";s:1:""0"";s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}}",,"4Good>People S502m 4G","4Good People S502m 4G",,,76,en
225,"Variation #147 of 4Good People S502m 4G Hülle",,,product,http://p414239.webspaceconfig.de/shop/4good-people-s502m-4g-cover/?lang=en&attribute_pa_color=black-leather,44.90,44.90,,,Color,black-leather,yes,yes,yes,http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-black-leather.jpg,variable,224,,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",40,41,right-sidebar,,,,,,,,publish,1,224,0,closed,closed,,,,,,,,,,,,,,,,,,77,en
226,"Variation #148 of 4Good People S502m 4G Hülle",,,product,http://p414239.webspaceconfig.de/shop/4good-people-s502m-4g-cover/?lang=en&attribute_pa_color=red,34.90,34.90,,,Color,red,yes,yes,yes,http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-red.jpg,variable,224,,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",40,41,right-sidebar,,,,,,,,publish,1,224,0,closed,closed,,,,,,,,,,,,,,,,,,78,en
227,"Variation #149 of 4Good People S502m 4G Hülle",,,product,http://p414239.webspaceconfig.de/shop/4good-people-s502m-4g-cover/?lang=en&attribute_pa_color=pink-en,34.90,34.90,,,Color,pink-en,yes,yes,yes,http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-pink.jpg,variable,224,,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",40,41,right-sidebar,,,,,,,,publish,1,224,0,closed,closed,,,,,,,,,,,,,,,,,,79,en
228,"Variation #150 of 4Good People S502m 4G Hülle",,,product,http://p414239.webspaceconfig.de/shop/4good-people-s502m-4g-cover/?lang=en&attribute_pa_color=brown-leather,44.90,44.90,,,Color,brown-leather,yes,yes,yes,http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-brown-leather.jpg,variable,224,,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",40,41,right-sidebar,,,,,,,,publish,1,224,0,closed,closed,,,,,,,,,,,,,,,,,,80,en
229,"Variation #151 of 4Good People S502m 4G Hülle",,,product,http://p414239.webspaceconfig.de/shop/4good-people-s502m-4g-cover/?lang=en&attribute_pa_color=blue,34.90,34.90,,,Color,blue,yes,yes,yes,http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-blue.jpg,variable,224,,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",40,41,right-sidebar,,,,,,,,publish,1,224,0,closed,closed,,,,,,,,,,,,,,,,,,81,en
